  0	 a1882	 b1033	 c864	 d515	 e423	 f1059	 g453	 h1388	 i237	 j93	 k152	 l717	 m876	 n478	 o721	 p588	 q42	 r494	 s1596	 t3912	 u134	 v116	 w1787	 x0	 y436	 z2	
a 50	aa2	ab144	ac308	ad382	ae1	af67	ag138	ah9	ai322	aj7	ak146	al664	am177	an1576	ao1	ap100	aq0	ar802	as683	at785	au87	av233	aw57	ax14	ay319	az12	
b 36	ba136	bb14	bc0	bd0	be415	bf0	bg0	bh0	bi78	bj18	bk0	bl98	bm1	bn0	bo240	bp0	bq0	br88	bs15	bt7	bu256	bv1	bw1	bx0	by13	bz0	
c 47	ca368	cb0	cc13	cd0	ce285	cf0	cg0	ch412	ci67	cj0	ck178	cl108	cm0	cn1	co298	cp0	cq1	cr71	cs7	ct154	cu34	cv0	cw0	cx0	cy9	cz0	
d 2627	da106	db1	dc0	dd37	de375	df3	dg19	dh0	di148	dj1	dk0	dl22	dm1	dn2	do137	dp0	dq0	dr83	ds95	dt3	du52	dv5	dw2	dx0	dy51	dz0	
e 4904	ea670	eb8	ec181	ed767	ee470	ef103	eg46	eh15	ei127	ej1	ek35	el332	em187	en799	eo44	ep90	eq9	er1314	es630	et316	eu8	ev172	ew106	ex87	ey189	ez2	
f 110	fa145	fb0	fc0	fd0	fe154	ff86	fg0	fh0	fi205	fj0	fk0	fl69	fm3	fn0	fo429	fp0	fq0	fr188	fs4	ft102	fu62	fv0	fw0	fx0	fy4	fz0	
g 686	ga94	gb1	gc0	gd0	ge289	gf0	gg19	gh288	gi96	gj0	gk0	gl55	gm1	gn31	go135	gp0	gq0	gr98	gs42	gt6	gu57	gv0	gw1	gx0	gy2	gz0	
h 715	ha1164	hb0	hc0	hd0	he3155	hf0	hg0	hh1	hi824	hj0	hk0	hl5	hm1	hn0	ho487	hp2	hq0	hr91	hs8	ht165	hu75	hv0	hw8	hx0	hy32	hz0	
i 4	ia23	ib7	ic304	id260	ie189	if56	ig233	ih0	ii1	ij0	ik86	il324	im255	in1110	io88	ip42	iq2	ir272	is484	it558	iu5	iv165	iw0	ix15	iy0	iz18	
j 0	ja2	jb0	jc0	jd0	je31	jf0	jg0	jh0	ji9	jj0	jk0	jl0	jm0	jn0	jo41	jp0	jq0	jr0	js0	jt0	ju56	jv0	jw0	jx0	jy0	jz0	
