	m	o	q	s	0xa	w	y	þ	ö	"	$	ü	(	*	,	.	0	2	4	6	8	:	<	>	@	&	·	§	x	^	`	b	d	u	h	j	l	n	p	r	t	v	0xd	z	ç	~	/	0x9	!	%	'	)	+	-	f	1	3	5	7	9	;	=	?	[	ð	 	ý	]	_	a	c	e	g	i	k	
m	1687	4470	0	6321	146	11	533	484	201	693	0	13693	2	0	6865	14787	0	1	0	0	0	608	0	0	0	7	0	0	0	0	0	2060	10245	20616	1900	1	18670	703	1793	864	267	99	75	774	27	1	42	2	385	0	2523	168	1	187	508	2	0	0	0	0	431	8	598	0	1	45879	31059	0	1	115907	2901	81149	493	54146	1365	
o	7373	512	4	6427	18	312	9551	4072	0	24	0	0	0	0	638	271	0	3	2	0	0	40	0	0	0	2	0	0	43	0	0	1823	4039	500	601	1964	71204	53551	9665	74731	6898	1361	7	2337	526	0	3	1	70	0	822	58	1	112	1836	0	0	0	0	1	12	0	41	0	14323	10945	10	0	0	228	5588	202	1705	306	25013	
q	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1	0	0	4	0	0	0	7	1	
s	3659	26668	29	3044	33	34	5019	0	10637	34	0	10649	1	0	1186	670	0	6	0	0	1	71	0	0	1	53	0	0	2	0	0	367	115	20205	1041	0	9181	630	2201	918	32293	268	12	16	118	1	8	0	41	0	2334	95	0	72	438	1	1	4	0	0	42	1	9	0	1	9095	60536	1	0	67102	575	46133	246	67235	7667	
0xa	1368	1800	1	2547	2256	33	1930	587	667	139	0	259	136	41	2	79	15	649	107	76	64	0	1	1	0	0	3	0	10	0	0	5244	1901	319	1870	56	217	1049	703	338	1600	400	1938	240	747	0	0	31	0	2	422	1	0	824	447	834	179	85	57	57	0	1	0	3	0	38399	168	0	0	3357	459	1496	1489	1603	2488	
w	0	182	0	65	1	59	11	0	2	2	0	0	0	0	21	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	8	45	0	14	44	5	28	19	0	0	0	0	0	0	0	0	0	25	1	0	49	4	0	0	0	0	0	0	0	0	0	0	270	1	0	0	404	1	264	6	223	1	
y	2357	64407	0	3326	28	27	872	257	5084	30	0	18424	1	0	1183	410	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	1398	11759	11043	618	0	34518	5777	538	5430	640	603	5	308	42	0	3	0	60	0	1283	67	1	64	710	0	0	0	0	0	21	2	37	0	0	9555	29505	0	0	124303	356	63338	4505	18950	2353	
þ	14311	443	0	1119	99	0	445	52	1663	76	0	6892	1	0	3794	3276	0	0	0	0	0	142	0	0	0	0	0	0	0	0	2	2159	180	6664	234	0	18004	140	79	404	26827	1178	23	9	889	0	12	4	114	0	850	59	0	94	158	0	0	0	0	0	159	0	63	0	0	21529	25411	2	0	22497	48	14785	436	20140	13234	
ö	1205	0	0	2933	0	1	14679	838	93	1	0	0	0	0	4	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	1821	0	88	0	7094	23737	1212	21708	2950	1214	1	17219	329	0	0	0	1	0	4	10	0	3	350	0	0	0	0	0	0	0	1	0	4325	163	0	0	0	0	201	0	85	18	2501	
"	346	239	0	675	1009	12	445	126	158	0	0	82	3	2	182	80	2	66	10	7	4	3	0	0	0	0	0	0	0	0	0	1364	449	90	416	10	66	306	161	100	688	88	0	64	179	0	0	0	1	0	9	1	0	11	110	68	30	10	1	7	3	0	0	0	0	7231	113	0	0	756	114	403	285	429	697	
$	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ü	14101	25	0	7909	109	0	13204	14212	5	82	0	20	1	0	1687	2392	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	550	2894	1	376	79	17397	46410	1790	36048	6165	1885	23	22312	5431	0	6	0	29	0	673	63	0	31	924	1	0	0	0	0	63	0	137	0	4216	17182	7	0	0	49	2707	205	33	5	17316	
(	267	102	0	357	0	17	262	25	103	0	0	27	1	11	0	59	130	151	45	35	14	0	0	0	0	0	0	0	1	0	1	461	234	49	143	12	59	95	76	75	336	83	0	35	64	0	0	0	45	0	2	1	5	2	74	298	59	37	28	16	0	2	10	0	0	30	56	0	0	433	145	199	137	189	304	
*	0	1	0	1	8	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	1	1	0	0	0	1	
,	8	12	0	16	39	0	14	5	5	12	0	3	3	0	7	15	55	20	21	17	27	0	0	0	0	0	0	0	0	0	0	29	21	5	12	0	2	4	1	0	12	5	190	3	5	0	0	0	0	0	14	0	0	4	3	24	25	71	23	15	0	0	0	0	0	147255	1	0	0	29	3	6	6	14	15	
.	24	41	0	75	13846	4	68	69	52	1228	0	23	4	2	218	23955	551	652	239	223	224	34	0	0	0	0	0	0	0	0	0	104	57	2	44	4	76	36	16	16	50	16	9992	4	9	0	10	3	19	0	639	410	1	32	10	514	333	687	250	229	4	0	12	0	0	132803	9	3	0	96	62	45	84	18	63	
