	m	o	x	s	u	w	y	{	}	þ	 	"	ö	ü	(	*	,	.	0	2	4	6	8	:	@	­	&	0xc	·	»	0xb	¿	\	q	b	d	f	h	j	l	n	p	r	t	v	0xd	z	ç	0x9	!	#	%	'	)	[	-	/	1	3	5	7	9	;	?	0xa	ð	¡	«	ý	]	_	a	c	e	g	i	k	"																																																																	
m	114685	327002	1024	169648	841401	2721	130591	9	61	6435	1881716	43539	2256	284185	2094	365	218437	340600	204	848	437	239	112	27659	188	17	251	0	4	17	0	10	62	122	116176	322387	5558	16961	903	544663	21755	135449	31184	14563	2054	57304	15179	662	126	11189	68	24	31505	82432	69	8101	17772	843	755	215	252	90	7555	15016	9859	49	2	0	639993	753	471	4049803	81792	2870527	13065	2019432	46134
o	465583	227146	12790	408191	644246	236335	530112	2	43	76271	786575	5424	86	63	494	145	34331	28191	124	556	162	62	37	7022	133	73	81	0	0	1	0	4	10	1476	110989	281522	261786	81560	55375	2781948	2124667	308109	2085707	436876	151179	20714	301276	7110	152	3451	16	17	26744	20494	17	9117	1524	238	230	120	56	85	556	3890	2688	174249	0	0	229	364	409	39399	232781	35006	284111	58596	899981
x	1000	2574	6240	1182	1920	343	4189	0	11	8	55703	892	4	39	238	97	4467	4097	405	1859	768	200	505	2486	44	0	23	0	0	1	0	0	10	70	551	963	944	709	47	3122	325	13523	202	14876	541	2442	118	35	16	162	40	19	7044	7498	147	2944	588	1123	652	354	239	101	93	234	257	2	0	0	223	574	284	6444	5127	10218	192	15735	123
s	283021	1150058	534	267842	871354	28224	154342	6	113	158	1428323	12821	235067	198837	1519	481	110187	101393	266	1624	506	134	85	18906	365	30	350	0	9	3	0	1	169	6747	14185	13357	19559	228564	1000	433154	49082	168038	30694	1544802	19204	88397	1726	4609	151	4473	14	53	57626	61667	165	8088	8820	720	393	149	62	134	2724	4152	8847	41	1	1	1149494	1466	958	2509855	94500	2079617	19280	3447380	284167
u	1012234	14803	10103	803847	51564	1051	534841	2	23	226135	2116907	12320	58	95	1247	179	108823	174312	47	1023	32	45	34	13259	84	80	83	0	2	2	0	6	13	514	117070	181240	54732	137093	4240	1260472	2458404	264706	1868546	556064	73197	30047	630056	52957	38	3423	2	11	51430	43012	19	4212	4524	139	47	38	17	53	3392	11814	4519	250734	2	0	421	269	143	85878	275351	89870	342441	51041	566835
w	1985	106308	161	28077	2653	79874	2517	2	0	109	122995	943	88	190	88	32	9325	42370	43	366	41	16	24	727	29	0	30	0	0	0	0	0	3	67	2283	3021	1630	151469	314	8618	55452	632	14424	2261	1431	14029	154	4	18	887	10	8	3317	3383	3	1229	496	199	315	25	14	41	240	1285	1489	3	1	0	331	81	100	225913	1375	160199	670	175867	2040
y	101640	1578994	454	131370	508258	9050	27360	4	32	2883	815036	7720	54610	218130	734	189	60309	52339	121	337	61	22	12	9001	132	22	191	0	5	1	0	0	9	52	48606	224174	25806	12144	326	877951	256748	11326	220245	43556	40912	55080	10374	602	76	4018	40	18	47439	30882	71	6849	2521	278	104	24	15	28	1261	4058	6036	104	0	0	462472	400	433	3470448	23399	1738852	101700	901021	58948
{	43	37	44	60	17	27	56	22	46	1	248	71	7	3	8	127	3	12	26	32	4	5	0	2	1	0	0	0	1	0	0	0	0	3	102	51	37	79	15	18	71	24	41	39	39	474	6	6	2	2	6	12	6	10	14	17	2	34	11	5	4	3	1	3	66	0	0	0	2	2	2	103	139	41	28	121	45
}	23	5	3	2	1	4	0	6	77	0	853	16	0	0	7	5	313	38	2	1	0	0	0	14	0	0	1	0	0	0	0	0	4	1	0	4	2	0	0	1	3	2	3	6	0	892	1	0	8	0	5	1	20	18	1	16	8	0	0	0	0	0	39	3	170	0	0	0	0	16	5	2	1	71	1	1	2
þ	177565	9708	7	19988	101676	36	6689	0	11	11506	470519	4062	25886	99346	493	58	64044	46647	1	16	3	3	0	4584	0	37	9	0	0	0	0	1	1	8	6135	2041	4044	6584	30	260322	2187	1004	7529	385821	10830	4281	602	10729	8	1153	2	0	4084	6580	15	1504	471	14	4	0	0	0	2099	1390	527	28	0	0	371330	62	4	447870	2729	354351	6227	382673	131176
