  1414018	 a4526513	 b6665949	 c1432988	 ç782278	 d4568086	 e2171212	 f1153097	 g3358101	 ð301	 h2255110	 ý60587	 i3471384	 j139514	 k4462462	 l677491	 m2170012	 n1034821	 o3623634	 ö465427	 p1119695	 q26807	 r702672	 s4691922	 þ522190	 t3186184	 u782085	 ü276407	 v1885244	 w527112	 x21305	 y3392226	 z542547	
a 6399944	aa258086	ab999206	ac833721	aç241986	ad1865890	ae23678	af454267	ag417238	að386756	ah998543	aý2438	ai312319	aj73406	ak2920244	al3303992	am2355452	an7097732	ao19341	aö357	ap930493	aq3994	ar6959955	as2358725	aþ703305	at2057656	au95816	aü775	av513106	aw50755	ax15961	ay2415900	az1029345	
b 40581	ba1706095	bb43149	bc6928	bç95	bd17357	be1401720	bf1094	bg4190	bð34	bh1550	bý110006	bi4139618	bj9963	bk1140934	bl151361	bm6721	bn12673	bo520039	bö107531	bp1596	bq71	br127351	bs16209	bþ246	bt4401	bu1600333	bü212531	bv732	bw2377	bx334	by51849	bz8082	
c 169925	ca1393182	cb17006	cc23708	cç39	cd23479	ce1432075	cf1368	cg4123	cð75	ch292480	cý195285	ci1044193	cj486	ck197346	cl127845	cm57099	cn7019	co517660	cö1371	cp6245	cq8914	cr115395	cs15459	cþ17	ct107010	cu455700	cü91429	cv1713	cw462	cx531	cy14807	cz2916	
ç 176453	ça317766	çb17293	çc188	çç1494	çd461	çe349738	çf17	çg3376	çð12	çh1133	çý284414	çi462252	çj9	çk8378	çl84817	çm65218	çn237	ço255941	çö23563	çp48	çq2	çr2761	çs6122	çþ31	çt43770	çu21862	çü68805	çv44	çw2	çx10	çy1199	çz18	
d 698795	da4034983	db10800	dc7416	dç145	dd121762	de4600286	df4496	dg11873	dð499	dh5665	dý983693	di3469079	dj7634	dk7054	dl74789	dm13100	dn18178	do682212	dö113977	dp3746	dq186	dr135756	ds64195	dþ126	dt12965	du1281673	dü391723	dv11241	dw7368	dx1312	dy75291	dz1148	
e 8217889	ea404480	eb386040	ec792923	eç167365	ed1505542	ee296636	ef256647	eg329518	eð334360	eh157266	eý536	ei87875	ej20273	ek2449542	el2437192	em1541063	en5269528	eo71853	eö392	ep271048	eq9144	er6297509	es1989926	eþ245200	et1808318	eu35847	eü370	ev857098	ew50709	ex60587	ey1340923	ez335579	
f 375559	fa570612	fb2533	fc6300	fç2468	fd1669	fe395835	ff68261	fg2373	fð12	fh3313	fý108259	fi548160	fj283	fk9527	fl116980	fm4333	fn1618	fo282679	fö5924	fp1260	fq52	fr162780	fs23729	fþ542	ft122890	fu112222	fü13064	fv209	fw608	fx802	fy10645	fz463	
g 300345	ga462803	gb5407	gc2084	gç66	gd16688	ge1568199	gf1854	gg22780	gð53	gh148752	gý105280	gi1943560	gj185	gk1178	gl143490	gm33677	gn27515	go460843	gö423177	gp3341	gq53	gr333347	gs36977	gþ28	gt7741	gu661573	gü372521	gv657	gw2308	gx80	gy9321	gz11969	
ð 13869	ða82690	ðb1327	ðc1566	ðç224	ðd17391	ðe109615	ðf545	ðg118	ðð2807	ðh249	ðý526751	ði620618	ðj5	ðk503	ðl132892	ðm33165	ðn4405	ðo2327	ðö32	ðp72	ðq1	ðr138579	ðs2098	ðþ125	ðt205	ðu288411	ðü76668	ðv103	ðw8	ðx0	ðy761	ðz11538	
h 372409	ha2059950	hb13935	hc14202	hç15920	hd8367	he1578298	hf2395	hg1119	hð53	hh32984	hý62156	hi783711	hj818	hk17900	hl67411	hm64585	hn62458	ho351664	hö7267	hp9500	hq315	hr89946	hs60547	hþ6287	ht277093	hu159454	hü37461	hv21069	hw3520	hx130	hy29608	hz5823	
ý 1991854	ýa1540	ýb10147	ýc122046	ýç24128	ýd124651	ýe354	ýf30629	ýg33924	ýð360585	ýh5178	ýý19749	ýi338	ýj307	ýk643258	ýl806353	ým570921	ýn2377022	ýo4783	ýö84	ýp128687	ýq141	ýr1046610	ýs281066	ýþ550212	ýt67683	ýu357	ýü34	ýv17257	ýw204	ýx69	ýy324429	ýz428799	
i 6529487	ia143745	ib484184	ic770540	iç459817	id717364	ie209545	if275734	ig738668	ið418485	ih185043	iý172	ii153681	ij15246	ik1813793	il3876581	im1974531	in7562586	io189209	iö232	ip462329	iq6420	ir4879156	is2425224	iþ699539	it1135090	iu13995	iü470	iv216828	iw1340	ix26644	iy1666874	iz1394350	
j 26943	ja86004	jb791	jc580	jç5	jd8375	je70542	jf275	jg351	jð6	jh409	jý10478	ji93694	jj1534	jk1981	jl12535	jm1134	jn696	jo51683	jö2620	jp2598	jq12	jr1208	js898	jþ20	jt516	ju56634	jü1286	jv181	jw68	jx71	jy1692	jz79	
k 3418492	ka2997919	kb16077	kc56940	kç71326	kd27646	ke1540056	kf4646	kg4960	kð263	kh11888	ký642110	ki2300055	kj649	kk149287	kl1339022	km212137	kn93461	ko813647	kö94193	kp4769	kq39	kr140689	ks346813	kþ23433	kt954721	ku883483	kü182982	kv5392	kw2695	kx258	ky37407	kz1141055	
l 1352887	la6420262	lb140654	lc82411	lç20938	ld1131381	le5332564	lf40560	lg225005	lð332	lh16591	lý1028989	li3516160	lj3179	lk317894	ll1193864	lm1470792	ln33216	lo460491	lö3355	lp27079	lq394	lr9303	ls236580	lþ980	lt281011	lu1153611	lü297887	lv26950	lw9776	lx324	ly165706	lz12461	
